timestamp,price,MA30
2025-03-16 00:00:00,84391.69087647168,
2025-03-17 00:00:00,82610.61750343916,
2025-03-18 00:00:00,84075.36559694471,
2025-03-19 00:00:00,82780.03048688271,
2025-03-20 00:00:00,86815.44109470697,
2025-03-21 00:00:00,84270.84358966233,
2025-03-22 00:00:00,84009.532917822,
2025-03-23 00:00:00,83793.30854192551,
2025-03-24 00:00:00,85787.70914901773,
2025-03-25 00:00:00,87327.72969669085,
2025-03-26 00:00:00,87520.58391530563,
2025-03-27 00:00:00,86960.8555491039,
2025-03-28 00:00:00,87227.27158032371,
2025-03-29 00:00:00,84359.46915506005,
2025-03-30 00:00:00,82679.17255385047,
2025-03-31 00:00:00,82356.38111183756,
2025-04-01 00:00:00,82514.09365397849,
2025-04-02 00:00:00,85237.5876052852,
2025-04-03 00:00:00,82526.4221526433,
2025-04-04 00:00:00,83163.98757387721,
2025-04-05 00:00:00,83852.00765399594,
2025-04-06 00:00:00,83595.88550177493,
2025-04-07 00:00:00,78211.48358199988,
2025-04-08 00:00:00,79179.29226757778,
2025-04-09 00:00:00,76329.090356324,
2025-04-10 00:00:00,82622.17029546302,
2025-04-11 00:00:00,79596.35732250768,
2025-04-12 00:00:00,83439.28818043756,
2025-04-13 00:00:00,85305.09728392666,
2025-04-14 00:00:00,83600.82010054543,83537.98622831274
2025-04-15 00:00:00,84523.4524914945,83542.37828214682
2025-04-16 00:00:00,83656.49248858042,83577.24078165153
2025-04-17 00:00:00,84105.77942167096,83578.25457580909
2025-04-18 00:00:00,84930.90857600998,83649.95051211331
2025-04-19 00:00:00,84433.75017215389,83570.5608146949
2025-04-20 00:00:00,85126.66244301842,83599.08810980678
2025-04-21 00:00:00,85073.16544858096,83634.54252749872
2025-04-22 00:00:00,87452.04699068287,83756.50047579063
2025-04-23 00:00:00,93576.16588573981,84016.11570034803
2025-04-24 00:00:00,93605.45230873208,84225.3731207494
2025-04-25 00:00:00,93872.81422867288,84437.11413119499
2025-04-26 00:00:00,94773.11200643536,84697.52267977271
2025-04-27 00:00:00,94644.06637120107,84944.74917280195
2025-04-28 00:00:00,93809.33781968223,85259.74479495602
2025-04-29 00:00:00,95030.60645474444,85671.45925831914
2025-04-30 00:00:00,94256.35946318062,86068.12520336392
2025-05-01 00:00:00,94235.75331048167,86458.84719191403
2025-05-02 00:00:00,96426.94522273027,86831.82577916219
2025-05-03 00:00:00,96855.5681343944,87309.4639785539
2025-05-04 00:00:00,95922.86842404422,87734.76000689279
2025-05-05 00:00:00,94326.62048529249,88083.91376793601
2025-05-06 00:00:00,94758.8237105546,88456.01170822866
2025-05-07 00:00:00,96854.53198815876,89077.44665510063
2025-05-08 00:00:00,97026.49376966801,89672.35337183697
2025-05-09 00:00:00,103076.27555512934,90563.92621179715
2025-05-10 00:00:00,102962.54045692299,91241.9385505125
2025-05-11 00:00:00,104630.8792994166,92076.42261640944
2025-05-12 00:00:00,103994.061616746,92761.58173095305
2025-05-13 00:00:00,102876.8304286011,93347.30616910888
2025-05-14 00:00:00,104184.49039270742,94033.42851218094
2025-05-15 00:00:00,103594.42575090709,94669.12762082803
2025-05-16 00:00:00,103708.85136423641,95337.5395833499
2025-05-17 00:00:00,103556.03493982446,95985.881433955
2025-05-18 00:00:00,103212.36483885496,96595.26330938317
2025-05-19 00:00:00,106030.6376831359,97315.15955974924
2025-05-20 00:00:00,105629.41580436694,97998.5846717942
2025-05-21 00:00:00,106786.71995834043,98722.36982211951
2025-05-22 00:00:00,109665.86371625263,99462.8303796385
2025-05-23 00:00:00,111560.356938144,100062.30341471866
2025-05-24 00:00:00,107216.66856870624,100516.01062338446
2025-05-25 00:00:00,107831.36374380375,100981.29560722216
2025-05-26 00:00:00,108861.81037744327,101450.91888625573
2025-05-27 00:00:00,109377.71513263129,101942.04051163675
2025-05-28 00:00:00,109068.45694901445,102450.67781594783
2025-05-29 00:00:00,107838.18431100152,102877.59707782305
2025-05-30 00:00:00,105745.41660358038,103260.56564916972
2025-05-31 00:00:00,104010.91956242644,103586.40452423455
2025-06-01 00:00:00,104687.50742934884,103861.7565977885
2025-06-02 00:00:00,105710.00593822816,104156.90452458295
2025-06-03 00:00:00,105884.74263221149,104488.96699818854
2025-06-04 00:00:00,105434.47745144971,104859.22889706044
2025-06-05 00:00:00,104812.9182188067,105194.36538066884
2025-06-06 00:00:00,101650.7387545425,105354.2389395483
2025-06-07 00:00:00,104409.74967959142,105600.34746987908
2025-06-08 00:00:00,105681.4546141758,105687.18677184731
2025-06-09 00:00:00,105692.24740699006,105778.17700351619
2025-06-10 00:00:00,110261.57485948496,105965.86685551847
2025-06-11 00:00:00,110212.73252109604,106173.1558856635
2025-06-12 00:00:00,108679.9760916168,106366.59407443067
2025-06-13 00:00:00,105979.22902375912,106426.41869546572
2025-06-14 00:00:00,106045.56440819203,106508.12331737524
2025-06-15 00:00:00,105482.90611628917,106567.25847577698
2025-06-16 00:00:00,105554.49383061715,106633.87377213674
2025-06-17 00:00:00,106951.2720181497,106758.50401144657
2025-06-18 00:00:00,104683.42479835715,106713.59691528727
